57,0,5345,15,2,440,225,42,6
15,0,1545,55,1,485,184,63,5
15,0,2562,62,3,1776,179,62,5
25,0,2041,54,3,1891,156,39,5
15,1,1029,25,2,1457,519,44,5
22,1,912,46,4,258,485,40,3
26,1,1177,31,5,2534,787,24,2
22,0,891,18,1,375,297,52,3
26,0,1307,33,1,105,852,53,3
19,0,2484,13,3,1662,492,40,5
25,1,829,17,5,1176,243,43,3
25,1,2180,20,1,532,420,58,5
48,1,1137,43,1,27,732,30,1
21,0,1320,8,4,983,642,7,3
41,1,1464,11,3,641,264,12,1
61,0,4719,24,1,61,585,22,6
61,1,1554,14,1,1268,38,8,6
23,1,959,46,4,2804,267,12,3
16,1,2237,58,1,2014,13,54,4
17,1,2678,51,2,673,197,2,4
63,1,1295,38,2,913,727,30,1
29,1,799,51,5,275,716,9,3
23,0,1914,58,3,2570,9,54,5
19,0,2363,20,2,1877,887,5,5
27,0,1548,26,3,346,886,57,2
22,0,1083,55,2,1989,517,44,3
58,0,2575,45,3,2101,448,21,6
39,1,2417,19,3,421,30,49,4
51,0,5001,50,2,2385,103,55,6
24,1,1185,8,5,849,900,5,3
26,1,1458,30,5,1693,472,59,3
63,1,1071,1,3,1341,911,56,1
29,1,831,44,5,1190,596,27,3
20,0,1666,34,3,111,901,5,3
63,0,2543,48,4,1818,80,16,6
18,0,927,45,3,1784,357,18,5
24,0,1102,56,5,129,29,49,2
27,1,1033,53,4,927,594,27,3
64,0,3130,9,3,871,358,18,6
25,0,1035,58,1,846,458,37,3
23,0,775,52,3,536,29,49,2
17,1,2871,57,1,916,47,3,4
21,1,829,37,6,377,901,5,3
59,0,3915,6,3,240,675,29,6
29,0,1515,57,1,1420,517,44,3
21,0,1480,63,5,51,308,41,3
33,1,1356,7,2,1451,723,30,1
25,1,1634,40,1,713,932,11,3
59,0,5832,32,2,2038,670,29,6
18,0,2432,61,3,103,119,35,4
51,1,3731,57,1,171,902,56,6
21,0,917,37,1,237,514,44,3
26,1,1523,10,4,400,301,41,3
18,0,2491,52,2,1725,9,54,5
21,1,2273,41,3,930,55,3,5
63,1,4333,40,4,504,528,4,6
20,0,1144,61,3,1842,694,34,3
29,0,1485,35,4,1101,730,30,3
51,1,814,59,1,1150,405,20,1
27,0,1097,12,2,371,403,20,2
26,1,836,8,5,1135,594,27,3
37,0,1455,36,2,1766,375,19,1
63,0,4868,39,1,692,707,9,6
28,1,1152,50,3,981,372,28,3
64,1,2444,29,1,271,205,2,6
32,1,1675,5,3,528,767,48,1
27,1,857,14,2,1715,619,38,3
25,0,1530,20,6,2778,538,4,3
24,0,915,30,5,468,252,43,3
52,0,3248,37,1,1100,240,43,6
27,0,712,55,4,429,450,21,3
51,0,3091,22,1,804,384,19,6
29,0,1509,53,2,1989,477,59,2
32,1,1525,12,3,2129,333,17,1
46,0,1306,59,1,1148,817,26,1
23,0,1616,33,3,617,937,11,3
21,1,724,24,2,40,6,54,2
60,0,1667,2,1,1132,808,6,1
63,0,1885,4,1,12,585,22,6
28,1,1737,61,1,355,57,3,5
20,0,1306,1,3,1348,940,11,2
26,1,1944,28,3,930,519,44,5
16,1,2274,55,1,2930,168,62,4
28,1,1094,25,5,578,646,36,3
50,0,2466,30,3,524,749,60,6
37,1,1183,16,2,2477,310,41,1
38,1,1354,51,3,1298,906,56,1
53,0,1344,11,3,1135,743,60,1
21,0,1762,28,1,346,57,3,5
24,0,1073,22,1,2345,277,47,2
64,0,4788,60,3,1116,690,33,6
51,0,4242,45,3,986,616,38,6
24,1,1543,29,1,580,598,27,3
20,0,1037,43,5,32,686,33,3
22,0,772,38,1,238,704,34,3
58,1,2902,26,1,227,482,40,6
21,1,1157,59,2,357,527,4,3
21,1,1344,42,4,73,85,16,2
29,0,1190,19,4,1220,752,15,2
20,1,1126,26,5,2272,524,44,3
57,1,1691,54,3,1850,464,37,1
24,1,1073,40,4,322,650,36,3
18,0,2852,43,2,1878,865,50,5
